,Text
0,   <잊지 않겠습니다> 엄마 일 많이 도와줬지…꿈에 장가 보내 달래서 슬펐지만 부디 행복하길... 공무원 꿈꾸던 김동영 군에게 엄마가 보내는 편지입니다... hani.co.kr/arti/society/s… #세월호 pic.twitter.com/MQB1lup5zH  
1,   “하필 왜 저를 붙들고 그렇게 천연덕스레 연기를 하셨나요?” 세월호 유가족 박순미씨가 청와대에서 다시 박 대통령을 만나면 이렇게 묻고 싶다며 인터뷰했습니다. hani.co.kr/arti/society/s… pic.twitter.com/80vL0ApJtV  
2,"   이재명 성남시장은, 세월호의 실소유자가 ""국정원""이라는 확신이 더 커졌다고 밝혔습니다 세월호가 국정원 소유임을 확신 한다!""고 말하자, 보수단체가 고발했고, 이재명 성남시장은 본인의 소신이 맞다고 천명 했습니다 pic.twitter.com/X97WCn7jZi  "
3,"   朴대통령 “괴로우나 즐거우나 나라 사랑해야 한다”:정의당 “세월호 참사, 국정원 대선개입, 정윤회 국정농단까지.. 애국 얘기할 처지냐”  news.kukmin.tv/news/articleVi… pic.twitter.com/ZdIqcm20BM  "
4,   독재자 박근혜가 애국가 나오니까 부부싸움 멈춘다는 영화장면에 감동했답니다. 아이고 ! 이런 북한적미의식! 야유도 이해 못하는 한참 세월지난 전체주의자의 촌스러운 문화적 감수성. 그 지경이니 김정일을 극찬했겠죠. 박근혜 독재자 자신이 세월호입니다.  
5,"   이백육십일째[260]. 세월호조사특위가 '일베'글을 퍼나르던 조사위원(여당 추천)까지 안고 불안하게 출발하는군요. 청와대는 세월호참사때 재난본부 담당으로 감사원징계까지 받았던 사람을 재난안전비서관에 내정했고요. 박근혜정권, 답이없네요.  "
6,"   ""@Jaemyung_Lee: <세월호 국정원 소유설 세번째 뒷받침 자료 ""양우공제회"" 온 국민 알때까지 RT부탁> 국정원 외곽단체 ‘양우공제회’-선박 비행기 골프장 등 수천억 투자(월간중앙) durl.me/7xpsgh""  "
7,"  #세월호 사고 발생 후 해경과 정부, YTN 등 언론은 ‘전원구조’라는 최악의 오보를 날렸다. 이 때문에 구조는 지연됐고 사고는 참사로 발전했다. pic.twitter.com/fcwnU1qCnH  "
8,"   국정원이 세월호 실소유주라면 이 분의 후덜덜한 죽음도 이해가 될수있다. => 국정원 “세월호, 국정원 지적사항 작성자 이미 사망 추정” gobalnews.com/news/articleVi…  "
9,"   ""항로 험난""-진상조사위 사무처 구성 권한 가진 사무처장이 박피아이고 공안악질•일베옹호자들이 포진한 새누리 위원에다 벌써 회의 비공개를 고집하는 목소리가 나오는 판이라니 '세월호'는 또 다시 침몰할까 우려된다. pic.twitter.com/Povb3LAGW7  "
10,"   가수조관우씨, 세월호 노래 발표 “날아오르는 풍등, 그대 있는 곳에 닿을 수 있게…” news.khan.co.kr/kh_news/khan_a… “그대 찾아 밤하늘 날아오르는 풍등, 그대 있는 곳에 닿을 수 있게 데려다 주오.” pic.twitter.com/ihZ6RPi33u  "
11,   새누리당 의원수를 넘는 찬성표가  새정연이 새누리 2중대임을 증명하는 듯  대놓고 훼방꾼들을.... 너희들은 스스로 세월호 참사의 한패임을 자백한거다!! pic.twitter.com/OpO9LUtrYo  
12,   아...세월호가 이렇게 된 거구나. todayhumor.co.kr/board/view.php…  진짜로?  
13,"   시작되었다 <이재명의 전쟁>! '세월호 실소유주 국정원 추정' 주장에 이어, 고발에 주저없이 '정면돌파' 선언.  국정원 비자금 줄에 바로 칼을 겨누는 이재명. 무기력한 야당, 이재명의 길을 따르라! pic.twitter.com/KVOeXnja7o  "
14,   유가족 반대 불구 고영주·차기환 세월호 조사위 선출is.gd/LLhNm5 #고발뉴스  
15,"   RT @Ryu_Story: @Jaemyung_Lee ""세월호 국내 수입 때 세금 전혀 안내"" durl.me/7k7jpa ""엄청난 고가의 수입 선박에 대한 면세 혜택을 어떻게 받아들여야 할지 난감하다""  "
16,   [12.31] #세월호 참사 희생자를 추모하고 안전한 사회의 희망을 나누는 송년문화제 “잊지않을게” * [광화문 타종식] 2014.12.31. PM10~12 세종대왕상 앞* 다양한 공연이 진행됩니다. pic.twitter.com/FuTRnjOPvX  
17,   미국인이 만든 세월호 영상입니다  특히 박근혜 정권의 언론장악문제도 소개되고 마지막 거위의꿈 노래와 아이들 캐리커처  눈물나는 영상이네요 Day of the Living Dead:... fb.me/2f3h1KQW1  
18,   이재명 시장 “세월호 실소유주 국정원 확신 더 커져” is.gd/uL3DTj #고발뉴스  
19,   경향신문은 2014 올해의 인물로 세월호에서 구조를 기다리던 안산 단원고 아이들 250명을 선정했습니다. 다시 되돌아봐도 가슴이 먹먹합니다. goo.gl/p9FUCP pic.twitter.com/ZTQiDrYQNn  
20,   17일째 기도: 세월호 일반인 희생자 백평권의 영혼을 기억하고 기도합니다...                                           우리이웃의 아픔... 우리사회의 아픔을 기억하고 함께하기위해 매일 한 분씩 기도해주기로해요...  
21,   허핑턴포스트가 전 세계 에디션별로 2014년 가장 중요했던 뉴스들을 한데 모았다. 허핑턴포스트 코리아는 세월호 참사를 올해의 뉴스로 선정했다. (인포그래픽) huff.to/1tffxbE pic.twitter.com/6tHgCEly8u  
22,"   양우공제회-국가기밀정보원이라 일반 국민들한테는 접근조차도 못하게 하고 자기네들끼리국가돈 맘대로 주물럭거리는구나. 그중 하나가 세월호고 생떼같은  애들  300명이상 죽이고 니들은 구조도 안하고 이제 보험금 수백,수천억 타서 니들 배만 불리면 다인게지.  "
23,"   상삭적으로 국정원이죠. 시장님도 몸 조심하셔유! 저들이 뭔 짓할지 몰라유! “@Jaemyung_Lee: <여러분도 한번 테스트 해보세요^^> 이재명성남시장, 세월호 실소유자 의혹 제기 국정원과 청해진 중누구?  news.tf.co.kr/read/life/1467…  "
24,   @halo1440  양우회와 세월호의 관계를 언급하는 이재명시장 보호에 대한 새정연의 태도도 분명히 해야... 야당이면 여당을 견제하는 세력은 보호해야 야당이지요.  
25,"   12월 29일 뉴스K 전체 다시보기: 朴대통령 “괴로우나 즐거우나 나라 사랑해야 한다”/정의당 “세월호 참사, 국정원 대선개입, 국정농단까지 애국 얘기할 처지냐” news.kukmin.tv/news/articleVi… pic.twitter.com/NVNXSRN0rV  "
26,  세월호 유족이 신당 참여를 하면 또 뭐가 문제인가. 결국 정치적 해법이 가장 확실한데 그 길은 미리 차단하고 싶냐?  
