,Text
26,"   문재인에게 호의적인 기사를 쓰지 않는다  이명박근혜 8년 국정원 국가기관 조직적 선거개입 세월호,메르스,10억엔에 팔아먹은 위안부 할머님들의 가슴속의 피고름을 악마정권 입맛대로 합의했다 총선승리 꼭 합시다! pic.twitter.com/fVpBXIfoho  "
27,   위안부 할머니나 세월호 유가족이나 정부보다 더 위에 있는 원로원같다. 외교를 하는데 위안부 할머니 뜻을 받아서 회담을 했다면 해결되었을까? 결코 해결될 수 없다고 본다 그럼 이 문제를 대답없는 메아리처럼 외치는게 정답일까? 감성과 이성 사이의 난제  
28,   정대협은 뭐냐.시민단체가 어디든지 출연한다.세월호도 유가족만 있었다면 조용히 끝날수 있었다.세월호에 시민단체 새밑년이 들어붙어 유가족이 시민화 되었다.정신대 할머니에게서 정대협은떠나라.있으려면 정부일방해마라 pic.twitter.com/N1eSID3G5b  
29,  세월호 참사 623일  세월호의 진실은 박근혜 정권 내내 엄정한 족쇄가 되어 사라진 7시간 외에 책임자들의 발목을 잡을 것입니다. 또한 다음 정권하에서라도 국민은 반드시 심판할 것입니다  #세월호 #바꾸세 pic.twitter.com/47sSVU94cJ  
30,"   2015년이 얼마남지 않았습니다.  동거차도, 팽목항, 안산 합동분향소, 광화문 세월호광장의 시민들 그리고 세월호를 기억하는 해외동포와 함께하는 '송구영신_ 기억 약속 그리고 다짐'의 시간을 준비합니다.... fb.me/RXZidAPR  "
31,"   [팩트TV]‘세월호 유족-5.18 비하’ 트위터 올린 공공기관 간부,법원 “해고는 부적절” goo.gl/K3Cy6g “죽은자식 내세워 팔자 고치려는 탐욕스런 부모들” “5.18은 김일성이…"" pic.twitter.com/EbMgyOh3Uq  "
32,   아베 사과와 정부의 대서특필이 할머니들에게 어떻게 느껴지실지가 잘 와닿지 않으시면 세월호 문제 때 눈물기자회견 유병언 시체 그의 아들보고 고개숙이게 한 걸로  '모든 책임을 끝낸' 정부가 한 일이라는 것만 아시면되요  에초 사과란게 뭔지 모르는 정부임  
33,   이번 일본과의 협상 타결 이후가 위의 과정으로 진행된다면 세월호 사건 이후 일어난 과정과 적확하게 일치하게 될 가능성이 높다.  
34,"   '동거차도'에 머무는 세월호 가족들의 성탄 소망은?ᆢ오로지 ""진ᆞ상ᆞ규ᆞ명""뿐임을 우리 모두는 잊지않고 진실이 밝혀질 때까지 함께 갈것이고 함께 지켜볼것입니다#세월호 news.naver.com/main/read.nhn?… pic.twitter.com/yTZoUwe5Ab  "
35,"   안철수와 표창원은 둘다 보수주의자나 서로 비교하면 표창원이 훨씬 정의롭다는 생각이 든다. 표창원은 지난 대선의 부정선거에 분노했고, 세월호서 죽어간 아이들을 위해 특조위 자문위원도 맡았다. 그런데 안철수는 그간 뭘 했나? 주둥이정치는 그만하자!  "
