,Text
0,"   전에도 썼지만, 인권에 진영 없다.  김용균씨 모친의 정치성향이 어떻든, 자한당 의원을 껴안고 우리 문프에게 서운한 말을 늘어 놓든, 자식잃은 부모의 마음을 두고 '왈가'한 것은 오로지 위로 뿐이다.  세월호 유족의 정치성향을 따지던 박근혜 일족과 우리가 다르다는 것을 스스로 내팽개치지 말자.  "
1,   콜드플레이 내한때 정말 이 사람들 너무 좋은 사람들이라고 생각한게 그 날 세월호 참사일이었다. 근데 yellow라는 곡 중간에 끊겨서 ??? 하고 어리둥절 해있었는데 오늘 무슨 일이 있었는지 안다고 하면서 10초만 묵념을 한다면 콘서트를 더 즐겁게 즐길수 있을거라고 얘기하더니 전광판에 노란 리본 pic.twitter.com/MGdZYHLa8U  
2,   벌써 시작되었다. 국회에서의 투쟁으로 여야가 겨우 합의하자 숟가락 얹으려는 대통령의 속보이는 제안을 거절했고 문파들이 공격이 시작되었다. 어디서 많이 보던 그림 아닌가? 정확히 똑같은 짓을 박근혜 정부가 세월호 유가족들에게 했었다. news.v.daum.net/v/201812291830…  
3,   해방후 이 나라의 역사는 민족해방을 위해 싸운 독립군들이 친일파를 청산한 것이 아니라  역으로  친일파들이 독립군을 청산한 더러운 역사이다 그 중심에는 이승만이 있다  지금도 늦지 않았다 가까운 쓰레기부터 소각하자  가깝게는 세월호 범인부터 멀게는 친일파일족까지 백년이 걸려도 청산하자  
4,   ‘세월호 유족 사찰’ 전직 군 장성들 석방시켜준 군사법원@newsvop vop.co.kr/A00001366527.h…  
5,  세월호 참사로 희생된 아이들이 살아있었으면 22살일 것이다. 작업장에서 희생된 김용균은 24살의 나이로 아까운 목숨을 잃었다. 둘다 자본의 탐욕과 어른들의 무책임 속에서 아이들이 죽어간 것이다. 그런 일을 겪고도 사회안전망에 대한 인식이 없다. 경제지표가 선진국을 말하는 게 아니다.  
6,   트위터에서 힘 쓰지 말고 국회에서 힘 쓰라고! 그리고 젊은 사람이 그리 패기가 없어? 최고의원으로써 당이 지금 산으로 가는지 바다로 가는지도 모르는 상황 안보여? 당대표가 시원찮으면 한마디 할 수 있는거 아니냐고! 왜? 공천 안줄까봐? 그따위 정신 갖고 뭔놈의 정치를 하시나! 세월호가 운다!  
7,"   왜 구할 생각도 안했는지, 왜 구조를 방해까지 했는지 수사해달라는데... 돌아오는건 동정을 가장한 불편한 눈빛 뿐이다. 이정도면 된거 아냐? 하는.  세월호참사가 끊임없이 안전사고로 치부되고 있다. 여전히 박근혜가 이기고 있다.  "
8,   유치원 3법안을 패스트트랙 안건으로 표결 처리했습니다.최장 330일 뒤 법이 되는거죠.자유한국당의 몽니로 이 방법밖에 없었습니다. 국회사상 세월호법에 이어 두번째로 패스트트랙 법안이 됐습니다. 패스트가 아니라 슬로우가 된데는 자한당의 힘이 컸습니다. pic.twitter.com/iAV0XaADkZ  
9,"   이재명을 지지하는 이유중 하나가 이승만,박정희,전두환을 사람으로 보지않는다는 것. 이유는 자신들의 권력을 위하여 무고한 자국민들을 죽였다는 것이고 그에대한 처벌을 받지 않았다는것. 때문에 세월호의 비극이 생긴것. 공직자의 범죄는 가중 처벌로 단죄시키는게 공정사회의 기본이라는 철학.  "
10,"   한 해에 터지는 산재사고가 몇 백 건인데, 그걸 다 정부탓하는 건, 산업 자체를 없애자는 소리와 무엇이 다른가.  세월호 참사와 비교하는데, 재난 컨트롤타워인 정부에서 아무것도 안하고 있다가 구출에 실패하고, 또 정부가 적극적으로 진실을 은폐하려든 참사와, 산업재해가 어찌 같은가.  "
11,  세월호 특별법을 통과시켜 유족들을 위로하려던건 민주당입니다.  유치원3법을 통과시켜 아이들의 교육환경을 개선하려는것도 민주당입니다.  김용균법을 통과시켜 노동환경을 개선하려는것도 민주당입니다.  반대는 늘 자유당이구요..  이게 왜 정치 싸움이고 총구는 늘 여당과 청와대를 향합니까..  
12,"   경우가 같진 않겠지만, 저는 세월호 참사가 일어난 해부터 강릉커피축제 4일동안 가게 문 닫고 사비 들여 청소년들에게 핸드드립 커피 무료강습을 해오고 있습니다. 트윗으로 후원을 요청하면 트친 몇분께서 도와주십니다. 정치인에게선 10원도 받아본 적이 없습니다. 무슨 심리인지 모르겠어요.  "
